"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.186246919E0;-7.182605267E-1;1.972822189E0;9.662998199E0
1.191251736E0;-6.512228847E-1;2.030282974E0;9.605537415E0
1.196287072E0;-6.799532771E-1;2.001552582E0;9.701305389E0
1.201322406E0;-5.458779931E-1;1.972822189E0;9.634267807E0
1.206357741E0;-6.033388376E-1;1.924938202E0;9.682151794E0
1.211362558E0;-5.075707436E-1;1.944091797E0;9.634267807E0
1.216397893E0;-5.267243981E-1;1.848323703E0;9.595960617E0
1.221433228E0;-5.363011956E-1;1.934514999E0;9.557653427E0
1.226438045E0;-6.224924326E-1;1.963245392E0;9.576807022E0
1.231473380E0;-6.512228847E-1;1.924938202E0;9.548076630E0
1.236508715E0;-7.182605267E-1;1.944091797E0;9.653421402E0
1.241544049E0;-5.650315881E-1;1.867477298E0;9.548076630E0
1.246548867E0;-6.224924326E-1;1.944091797E0;9.586383820E0
1.251584201E0;-6.033388376E-1;1.944091797E0;9.519346237E0
1.256619537E0;-5.746083856E-1;2.001552582E0;9.624691010E0
1.261654871E0;-6.224924326E-1;1.982398987E0;9.576807022E0
1.266659689E0;-5.267243981E-1;1.934514999E0;9.538499832E0
1.271695023E0;-5.458779931E-1;2.030282974E0;9.548076630E0
1.276730358E0;-6.033388376E-1;2.087743998E0;9.509769440E0
1.281735176E0;-5.841852427E-1;1.972822189E0;9.490615845E0
1.286770510E0;-4.884171486E-1;2.030282974E0;9.509769440E0
1.291805845E0;-4.979939461E-1;2.049436569E0;9.576807022E0
1.296841180E0;-5.267243981E-1;1.944091797E0;9.634267807E0
1.301845998E0;-4.979939461E-1;2.001552582E0;9.586383820E0
1.306881332E0;-5.458779931E-1;2.020706177E0;9.595960617E0
1.311916666E0;-5.458779931E-1;2.039859772E0;9.691728592E0
1.316921484E0;-4.979939461E-1;2.001552582E0;9.662998199E0
1.321956819E0;-5.554547906E-1;2.039859772E0;9.672574997E0
1.326992154E0;-5.363011956E-1;1.944091797E0;9.634267807E0
1.332027488E0;-5.171475410E-1;1.991975784E0;9.576807022E0
1.337032306E0;-4.405331016E-1;1.915361404E0;9.653421402E0
1.342067641E0;-4.884171486E-1;1.934514999E0;9.662998199E0
1.347102975E0;-4.309563041E-1;1.953668594E0;9.605537415E0
1.352138310E0;-4.118026793E-1;1.944091797E0;9.653421402E0
1.357143127E0;-4.405331016E-1;1.953668594E0;9.730035782E0
1.362178463E0;-4.788403511E-1;1.886630893E0;9.768342972E0
1.367213797E0;-4.596867263E-1;1.963245392E0;9.710882187E0
1.372218615E0;-5.458779931E-1;1.972822189E0;9.710882187E0
1.377253949E0;-5.267243981E-1;2.039859772E0;9.643844604E0
1.382289284E0;-5.554547906E-1;2.020706177E0;9.662998199E0
1.387324619E0;-5.746083856E-1;2.001552582E0;9.576807022E0
1.392329436E0;-5.650315881E-1;2.078166962E0;9.595960617E0
1.397364771E0;-6.129156351E-1;2.030282974E0;9.595960617E0
1.402400105E0;-5.554547906E-1;2.030282974E0;9.624691010E0
1.407404923E0;-6.224924326E-1;2.059013367E0;9.615114212E0
1.412440258E0;-6.224924326E-1;1.991975784E0;9.586383820E0
1.417475593E0;-6.224924326E-1;1.953668594E0;9.538499832E0
1.422480410E0;-5.171475410E-1;1.991975784E0;9.586383820E0
1.427515745E0;-6.703764796E-1;2.049436569E0;9.567230225E0
1.432551080E0;-6.703764796E-1;2.030282974E0;9.519346237E0
1.437586414E0;-6.416460276E-1;1.944091797E0;9.528923035E0
1.442591232E0;-7.374141216E-1;1.972822189E0;9.567230225E0
1.447626566E0;-6.416460276E-1;2.030282974E0;9.662998199E0
1.452661902E0;-6.320692301E-1;1.963245392E0;9.634267807E0
1.457666718E0;-6.416460276E-1;2.001552582E0;9.653421402E0
1.462702054E0;-7.374141216E-1;1.934514999E0;9.567230225E0
1.467737388E0;-7.278373241E-1;1.982398987E0;9.653421402E0
1.472742206E0;-6.703764796E-1;1.972822189E0;9.557653427E0
1.477777540E0;-6.129156351E-1;2.049436569E0;9.586383820E0
1.482812875E0;-6.224924326E-1;2.049436569E0;9.557653427E0
1.487817693E0;-6.607996821E-1;2.039859772E0;9.634267807E0
1.492853027E0;-6.607996821E-1;2.039859772E0;9.595960617E0
1.497888362E0;-5.458779931E-1;2.001552582E0;9.653421402E0
1.502923697E0;-7.182605267E-1;1.953668594E0;9.643844604E0
1.507928515E0;-6.512228847E-1;1.991975784E0;9.749189377E0
1.512963849E0;-6.703764796E-1;1.972822189E0;9.691728592E0
1.517999183E0;-6.033388376E-1;1.953668594E0;9.701305389E0
1.523034519E0;-6.607996821E-1;1.924938202E0;9.595960617E0
1.528039336E0;-6.703764796E-1;2.020706177E0;9.557653427E0
1.533074671E0;-6.799532771E-1;1.905784607E0;9.576807022E0
1.538110005E0;-6.991068721E-1;1.991975784E0;9.548076630E0
1.543114823E0;-6.416460276E-1;2.039859772E0;9.682151794E0
1.548150158E0;-6.129156351E-1;1.953668594E0;9.672574997E0
1.553185492E0;-6.129156351E-1;2.001552582E0;9.701305389E0
1.558220827E0;-6.224924326E-1;1.982398987E0;9.586383820E0
1.563225644E0;-5.363011956E-1;1.982398987E0;9.624691010E0
1.568260980E0;-5.746083856E-1;1.953668594E0;9.576807022E0
1.573296314E0;-6.512228847E-1;2.011129379E0;9.634267807E0
1.578301132E0;-6.512228847E-1;2.039859772E0;9.586383820E0
1.583336466E0;-5.650315881E-1;1.963245392E0;9.615114212E0
1.588371801E0;-5.650315881E-1;1.972822189E0;9.557653427E0
1.593407136E0;-6.033388376E-1;2.020706177E0;9.509769440E0
1.598411954E0;-5.937620401E-1;1.963245392E0;9.615114212E0
1.603447288E0;-6.320692301E-1;2.030282974E0;9.615114212E0
1.608482623E0;-5.267243981E-1;2.068590164E0;9.615114212E0
1.613487440E0;-6.129156351E-1;2.011129379E0;9.528923035E0
1.618522775E0;-6.129156351E-1;1.924938202E0;9.662998199E0
1.623558110E0;-6.416460276E-1;1.991975784E0;9.720458984E0
1.628562927E0;-6.320692301E-1;1.944091797E0;9.643844604E0
1.633598262E0;-6.033388376E-1;1.915361404E0;9.653421402E0
1.638633597E0;-5.841852427E-1;1.924938202E0;9.624691010E0
1.643668931E0;-5.458779931E-1;1.963245392E0;9.595960617E0
1.648673749E0;-6.224924326E-1;1.963245392E0;9.691728592E0
1.653709083E0;-5.841852427E-1;1.963245392E0;9.634267807E0
1.658744419E0;-5.937620401E-1;1.991975784E0;9.643844604E0
1.663749236E0;-5.554547906E-1;1.915361404E0;9.643844604E0
1.668784571E0;-5.554547906E-1;1.963245392E0;9.557653427E0
1.673819905E0;-5.841852427E-1;1.972822189E0;9.557653427E0
1.678855240E0;-6.224924326E-1;2.011129379E0;9.548076630E0
1.683860058E0;-5.650315881E-1;2.049436569E0;9.557653427E0
1.688895392E0;-6.512228847E-1;2.011129379E0;9.595960617E0
1.693930727E0;-6.129156351E-1;2.030282974E0;9.586383820E0
1.698935544E0;-6.033388376E-1;1.982398987E0;9.605537415E0
1.703970880E0;-5.937620401E-1;1.991975784E0;9.605537415E0
1.709006214E0;-6.703764796E-1;1.953668594E0;9.643844604E0
1.714041548E0;-5.937620401E-1;2.049436569E0;9.548076630E0
1.719046366E0;-6.129156351E-1;2.001552582E0;9.605537415E0
1.724081701E0;-5.554547906E-1;2.030282974E0;9.605537415E0
1.729117036E0;-6.607996821E-1;2.020706177E0;9.586383820E0
1.734121853E0;-6.224924326E-1;1.991975784E0;9.624691010E0
1.739157188E0;-6.033388376E-1;1.953668594E0;9.634267807E0
1.744192522E0;-5.746083856E-1;1.905784607E0;9.710882187E0
1.749227857E0;-6.129156351E-1;2.020706177E0;9.615114212E0
1.754232675E0;-6.512228847E-1;1.991975784E0;9.662998199E0
1.759268009E0;-6.224924326E-1;2.011129379E0;9.615114212E0
1.764303344E0;-6.512228847E-1;1.972822189E0;9.576807022E0
1.769308162E0;-6.416460276E-1;2.011129379E0;9.634267807E0
1.774343497E0;-6.607996821E-1;2.001552582E0;9.548076630E0
1.779378831E0;-6.129156351E-1;1.934514999E0;9.605537415E0
1.784383649E0;-6.224924326E-1;1.991975784E0;9.471462250E0
1.789418983E0;-6.224924326E-1;1.953668594E0;9.442731857E0
1.794454319E0;-6.033388376E-1;1.924938202E0;9.442731857E0
1.799489653E0;-5.554547906E-1;1.953668594E0;9.471462250E0
1.804494471E0;-5.650315881E-1;1.972822189E0;9.500192642E0
1.809529805E0;-6.224924326E-1;2.030282974E0;9.586383820E0
1.814565140E0;-5.746083856E-1;2.039859772E0;9.595960617E0
1.819569957E0;-6.224924326E-1;1.991975784E0;9.576807022E0
1.824605292E0;-5.746083856E-1;1.982398987E0;9.586383820E0
1.829640627E0;-6.224924326E-1;2.030282974E0;9.557653427E0
1.834645444E0;-6.320692301E-1;2.011129379E0;9.624691010E0
1.839680779E0;-5.458779931E-1;2.039859772E0;9.548076630E0
1.844716114E0;-5.650315881E-1;2.001552582E0;9.624691010E0
1.849751448E0;-5.746083856E-1;2.001552582E0;9.605537415E0
1.854756266E0;-5.746083856E-1;1.972822189E0;9.682151794E0
1.859791600E0;-5.554547906E-1;1.953668594E0;9.576807022E0
1.864826936E0;-5.363011956E-1;1.934514999E0;9.710882187E0
1.869831753E0;-5.650315881E-1;1.991975784E0;9.605537415E0
1.874867088E0;-5.171475410E-1;2.011129379E0;9.672574997E0
1.879902422E0;-5.171475410E-1;2.011129379E0;9.624691010E0
1.884937757E0;-6.320692301E-1;1.963245392E0;9.701305389E0
1.889942575E0;-5.937620401E-1;2.030282974E0;9.797073364E0
1.894977909E0;-5.937620401E-1;2.020706177E0;9.730035782E0
1.900013244E0;-5.554547906E-1;1.953668594E0;9.615114212E0
1.905018061E0;-6.033388376E-1;1.924938202E0;9.576807022E0
1.910053397E0;-5.267243981E-1;2.011129379E0;9.490615845E0
1.915088731E0;-5.171475410E-1;1.982398987E0;9.509769440E0
1.920124065E0;-5.363011956E-1;2.039859772E0;9.481039047E0
1.925128883E0;-5.171475410E-1;1.963245392E0;9.595960617E0
1.930164218E0;-5.458779931E-1;2.039859772E0;9.682151794E0
1.935199553E0;-5.554547906E-1;2.020706177E0;9.682151794E0
1.940234887E0;-4.788403511E-1;2.049436569E0;9.538499832E0
1.945239705E0;-5.937620401E-1;2.039859772E0;9.567230225E0
1.950275040E0;-6.129156351E-1;2.039859772E0;9.624691010E0
1.955310374E0;-6.895300746E-1;2.078166962E0;9.557653427E0
1.960315192E0;-6.224924326E-1;2.011129379E0;9.538499832E0
1.965350527E0;-6.512228847E-1;2.001552582E0;9.557653427E0
1.970385862E0;-5.841852427E-1;2.078166962E0;9.538499832E0
1.975390679E0;-6.224924326E-1;1.915361404E0;9.615114212E0
1.980426014E0;-5.746083856E-1;2.020706177E0;9.605537415E0
1.985461348E0;-5.746083856E-1;1.915361404E0;9.701305389E0
1.990496684E0;-6.320692301E-1;1.953668594E0;9.682151794E0
1.995501500E0;-5.458779931E-1;2.001552582E0;9.643844604E0
2.000536836E0;-5.171475410E-1;2.011129379E0;9.787496567E0
2.005572170E0;-5.650315881E-1;1.963245392E0;9.624691010E0
2.010576988E0;-6.416460276E-1;1.991975784E0;9.548076630E0
2.015612322E0;-5.746083856E-1;1.972822189E0;9.615114212E0
2.020647657E0;-6.033388376E-1;1.972822189E0;9.595960617E0
2.025652475E0;-5.746083856E-1;2.020706177E0;9.624691010E0
